Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth,Number of Variables
tests/satlib/unsat/uuf50-0410.cnf,false,203042,false,120349,7683178,19158,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0376.cnf,false,124375,false,195,4453,8027,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0362.cnf,false,177292,false,330521,21131189,22155,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0404.cnf,false,110375,false,29537,1878334,12034,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0438.cnf,false,108208,false,22059,1398054,13722,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0389.cnf,false,209209,false,55038,3501703,20729,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0174.cnf,false,122792,false,70273,4483858,13614,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0612.cnf,false,117583,false,17541,1110104,12520,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0606.cnf,false,182375,false,30944,1963605,16811,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0160.cnf,false,232625,false,31340,1992991,12769,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0148.cnf,false,202667,false,51313,3273643,10389,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0809.cnf,false,190250,false,34940,2217398,18762,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0835.cnf,false,114292,false,30743,1948704,18848,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0821.cnf,false,181208,false,59702,3810840,10088,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0766.cnf,false,202917,false,42338,2692717,16915,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0772.cnf,false,215167,false,33260,2112078,16562,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0982.cnf,false,170708,false,11624,722771,21165,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0996.cnf,false,129917,false,18235,1154869,12171,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0969.cnf,false,128291,false,85768,5472253,16899,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0941.cnf,false,109041,false,44222,2816925,13283,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0799.cnf,false,179500,false,17025,1076546,13054,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0955.cnf,false,129792,false,27988,1776344,14888,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0564.cnf,false,159791,false,7508,472395,8117,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0202.cnf,false,201167,false,26353,1678109,8483,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0216.cnf,false,118375,false,28396,1802078,15266,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0570.cnf,false,203375,false,37134,2364982,11594,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0558.cnf,false,148166,false,39250,2490361,21639,64,Dense(64),100,50
tests/satlib/unsat/uuf50-010.cnf,false,90500,false,20559,1301389,14387,64,Dense(64),100,50
tests/satlib/unsat/uuf50-08.cnf,false,128417,false,113479,7240964,21692,64,Dense(64),100,50
tests/satlib/unsat/uuf50-038.cnf,false,122041,false,15771,993225,16119,64,Dense(64),100,50
tests/satlib/unsat/uuf50-039.cnf,false,124125,false,118854,7597329,9327,64,Dense(64),100,50
tests/satlib/unsat/uuf50-09.cnf,false,191834,false,84900,5420830,12770,64,Dense(64),100,50
tests/satlib/unsat/uuf50-011.cnf,false,229208,false,37018,2349882,19270,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0559.cnf,false,117166,false,9604,600324,14332,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0217.cnf,false,273167,false,47494,3023706,15910,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0571.cnf,false,229791,false,5618,346530,13022,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0565.cnf,false,264417,false,14362,905652,13516,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0203.cnf,false,118125,false,31436,1998492,13412,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0954.cnf,false,214292,false,61107,3896588,14260,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0798.cnf,false,167125,false,12700,801958,10842,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0940.cnf,false,163833,false,60310,3830835,29005,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0968.cnf,false,111500,false,43047,2740147,14861,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0997.cnf,false,206416,false,35169,2239550,11266,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0983.cnf,false,108667,false,48228,3072884,13708,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0773.cnf,false,139250,false,11099,698759,11577,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0767.cnf,false,248209,false,54545,3476091,14789,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0820.cnf,false,167250,false,8329,503522,29534,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0834.cnf,false,194083,false,23569,1495513,12903,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0808.cnf,false,184833,false,11241,704325,15099,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0149.cnf,false,191708,false,21269,1346986,14230,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0607.cnf,false,155417,false,70699,4509152,15584,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0161.cnf,false,181375,false,22293,1407066,19686,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0175.cnf,false,215709,false,7918,498690,8062,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0613.cnf,false,185000,false,16968,1068058,17894,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0388.cnf,false,165500,false,18246,1151881,15863,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0439.cnf,false,201000,false,29896,1899960,13384,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0363.cnf,false,204709,false,18442,1165593,14695,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0405.cnf,false,207208,false,52268,3331550,13602,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0411.cnf,false,127625,false,86304,5505288,18168,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0377.cnf,false,259125,false,37904,2404107,21749,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0407.cnf,false,102959,false,14228,891579,19013,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0361.cnf,false,113958,false,174,4875,6261,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0375.cnf,false,209833,false,13661,863446,10858,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0413.cnf,false,79542,false,22675,1438607,12593,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0349.cnf,false,219041,false,19297,1222528,12480,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0163.cnf,false,258500,false,77802,4962818,16510,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0605.cnf,false,91917,false,9825,613067,15733,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0611.cnf,false,210000,false,73790,4700873,21687,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0177.cnf,false,175709,false,41156,2620445,13539,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0639.cnf,false,201583,false,56148,3582193,11279,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0822.cnf,false,238625,false,26956,1714630,10554,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0836.cnf,false,157083,false,22323,1414359,14313,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0188.cnf,false,165584,false,20968,1317781,24171,64,Dense(64),100,50
tests/satlib/unsat/uuf50-0771.cnf,false,215125,false,31274,1987220,14316,64,Dense(64),100,50
