Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Table Bandwidth,Topology,Node Bandwidth
tests/random/unsat/dummy_unsat.cnf,false,20291,false,20,66,1934,100,1,"Grid(10, 10)",1000000
tests/random/unsat/51_10_0.cnf,false,10583,false,19515,255128,1696372,100,1,"Grid(10, 10)",1000000
tests/random/unsat/51_10_1.cnf,false,10000,false,19515,255128,1696372,100,1,"Grid(10, 10)",1000000
tests/random/unsat/51_10_2.cnf,false,11667,false,19515,255128,1696372,100,1,"Grid(10, 10)",1000000
tests/random/sat/51_10_0.cnf,true,15709,true,17497,241138,1508562,100,1,"Grid(10, 10)",1000000
tests/random/sat/51_10_1.cnf,true,11708,true,17895,244493,1545007,100,1,"Grid(10, 10)",1000000
tests/random/sat/51_10_2.cnf,true,12458,true,1843,46222,138078,100,1,"Grid(10, 10)",1000000
tests/random/unsat/dummy_unsat.cnf,false,18750,false,20,66,1934,100,1,"Grid(10, 10)",1000000
tests/random/unsat/51_10_0.cnf,false,11666,false,19515,255128,1696372,100,1,"Grid(10, 10)",1000000
tests/random/unsat/51_10_1.cnf,false,11625,false,19515,255128,1696372,100,1,"Grid(10, 10)",1000000
tests/random/unsat/51_10_2.cnf,false,11125,false,19515,255128,1696372,100,1,"Grid(10, 10)",1000000
tests/random/sat/51_10_0.cnf,true,10792,true,17497,241138,1508562,100,1,"Grid(10, 10)",1000000
tests/random/sat/51_10_1.cnf,true,9708,true,17895,244493,1545007,100,1,"Grid(10, 10)",1000000
tests/random/sat/51_10_2.cnf,true,9500,true,1843,46222,138078,100,1,"Grid(10, 10)",1000000
