Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth,Number of Variables
tests/satlib/sat/uf20-0778.cnf,true,31166,true,81,793,4391,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0744.cnf,true,18833,true,50,335,2865,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0750.cnf,true,17875,true,108,2504,4408,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0988.cnf,true,20708,true,57,604,3044,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0963.cnf,true,18125,true,112,288,6880,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0977.cnf,true,33875,true,147,521,8887,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0787.cnf,true,11250,true,52,409,2919,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0793.cnf,true,9167,true,108,1140,5772,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0208.cnf,true,9750,true,55,592,2928,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0546.cnf,true,29250,true,59,627,3149,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0220.cnf,true,27166,true,101,2294,4170,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0234.cnf,true,59208,true,73,542,4130,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0552.cnf,true,31042,true,55,458,3062,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0585.cnf,true,16625,true,62,577,3391,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0591.cnf,true,35167,true,87,729,4839,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0368.cnf,true,13208,true,53,388,3004,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0432.cnf,true,14750,true,73,565,4107,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0354.cnf,true,10458,true,61,357,3547,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0340.cnf,true,22000,true,51,346,2918,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0426.cnf,true,24083,true,70,962,3518,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0397.cnf,true,22750,true,48,388,2684,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0383.cnf,true,15667,true,97,863,5345,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0618.cnf,true,10791,true,86,473,5031,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0156.cnf,true,9500,true,59,445,3331,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0630.cnf,true,11167,true,107,975,5873,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0624.cnf,true,12708,true,63,607,3425,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0142.cnf,true,17667,true,48,318,2754,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0817.cnf,true,22541,true,75,527,4273,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0803.cnf,true,18125,true,54,395,3061,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0195.cnf,true,28084,true,55,851,2669,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-035.cnf,true,17542,true,65,471,3689,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-021.cnf,true,20292,true,70,393,4087,64,"Grid(8, 8)",100,20
tests/satlib/sat/uf20-0181.cnf,true,9250,true,81,769,4415,64,"Grid(8, 8)",100,20
