Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth,Number of Variables
tests/satlib/sat/uf20-0778.cnf,true,28083,true,79,1401,3655,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0744.cnf,true,18625,true,50,327,2873,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0750.cnf,true,17917,true,67,1944,2344,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0988.cnf,true,16917,true,57,925,2723,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0963.cnf,true,16833,true,67,325,3963,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0977.cnf,true,31875,true,66,329,3895,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0787.cnf,true,8708,true,47,652,2356,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0793.cnf,true,9125,true,62,598,3370,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0208.cnf,true,9709,true,53,1014,2378,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0546.cnf,true,29750,true,59,1057,2719,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0220.cnf,true,30916,true,70,1737,2743,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0234.cnf,true,21458,true,61,638,3266,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0552.cnf,true,26708,true,55,394,3126,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0585.cnf,true,13500,true,62,847,3121,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0591.cnf,true,31875,true,87,372,5196,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0368.cnf,true,8709,true,53,641,2751,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0432.cnf,true,10334,true,73,865,3807,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0354.cnf,true,7917,true,61,365,3539,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0340.cnf,true,20875,true,51,847,2417,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0426.cnf,true,22625,true,90,2051,3709,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0397.cnf,true,20042,true,48,486,2586,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0383.cnf,true,41833,true,47,481,2527,64,"Torus(8, 8)",100,20
tests/satlib/sat/uf20-0618.cnf,true,10375,true,61,355,3549,64,"Torus(8, 8)",100,20
