Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth,Number of Variables
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-035.cnf,true,15542,true,20,20,0,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-021.cnf,true,15708,true,22,20,60,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-020.cnf,true,6833,true,23,32,212,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-034.cnf,true,11292,true,23,44,257,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-022.cnf,true,4750,true,22,9,116,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-036.cnf,true,11083,true,23,55,297,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-037.cnf,true,11917,true,21,24,118,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-023.cnf,true,8250,true,22,25,243,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-027.cnf,true,13083,true,20,20,0,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-033.cnf,true,6334,true,24,20,116,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-032.cnf,true,24875,true,24,20,88,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-026.cnf,true,24042,true,26,20,255,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-030.cnf,true,14834,true,23,37,270,64,"Torus(8, 8)",100,20
/Users/shaanyadav/Desktop/Projects/SatSwarm/tests/selected/uf20-024.cnf,true,9583,true,22,44,110,64,"Torus(8, 8)",100,20
