Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth,Number of Variables
tests/satlib/unsat/uuf50-0410.cnf,false,200250,false,0,59444,1641,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0376.cnf,false,120583,false,0,2827,124,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0362.cnf,false,168625,false,0,130466,7835,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0404.cnf,false,105791,false,0,9871,1039,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0438.cnf,false,97084,false,0,12875,833,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0389.cnf,false,205250,false,0,24180,1980,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0174.cnf,false,155250,false,0,24529,2097,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0612.cnf,false,190250,false,0,11470,1420,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0606.cnf,false,168833,false,0,15241,1125,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0160.cnf,false,222166,false,0,18828,1326,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0148.cnf,false,191417,false,0,32356,465,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0809.cnf,false,169959,false,0,21647,655,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0835.cnf,false,99875,false,0,14538,1002,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0821.cnf,false,174875,false,0,33144,1215,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0766.cnf,false,186542,false,0,26127,2028,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0772.cnf,false,188542,false,0,18323,1758,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0982.cnf,false,154875,false,0,7114,983,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0996.cnf,false,113792,false,0,8753,328,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0969.cnf,false,109833,false,0,44606,5500,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0941.cnf,false,103083,false,0,22733,1736,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0799.cnf,false,152084,false,0,8822,1352,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0955.cnf,false,111916,false,0,13315,881,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0564.cnf,false,132500,false,0,6476,598,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0202.cnf,false,183875,false,0,18230,935,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0216.cnf,false,104292,false,0,11333,367,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0570.cnf,false,185500,false,0,18760,1108,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0558.cnf,false,131500,false,0,30204,3396,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-010.cnf,false,74583,false,0,8855,727,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-08.cnf,false,112250,false,0,46867,2586,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-038.cnf,false,107250,false,0,9317,1436,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-039.cnf,false,94292,false,0,45533,834,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-09.cnf,false,168792,false,0,46545,3599,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-011.cnf,false,198833,false,0,16192,3254,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0559.cnf,false,98000,false,0,5995,748,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0217.cnf,false,250167,false,0,23050,462,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0571.cnf,false,207334,false,0,6433,1604,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0565.cnf,false,356375,false,0,8640,568,4,"Torus(2, 2)",100,50
tests/satlib/unsat/uuf50-0203.cnf,false,98917,false,0,16602,1546,4,"Torus(2, 2)",100,50
